iter	Passed	Remaining
407	6349	12325
408	6363	12307
409	6376	12286
410	6394	12274
411	6410	12260
412	6425	12243
413	6439	12226
414	6453	12207
415	6468	12191
416	6482	12172
417	6496	12154
418	6511	12137
419	6528	12123
420	6543	12107
421	6559	12093
422	6575	12077
423	6591	12063
424	6605	12045
425	6618	12025
426	6633	12008
427	6648	11992
428	6665	11978
429	6679	11961
430	6697	11949
431	6711	11931
432	6726	11914
433	6741	11899
434	6758	11885
435	6773	11869
436	6789	11855
437	6806	11841
438	6822	11827
439	6838	11811
440	6856	11801
441	6872	11785
442	6888	11771
443	6905	11757
444	6921	11743
445	6937	11729
446	6953	11714
447	6969	11698
448	6983	11681
449	6999	11665
450	7015	11650
451	7030	11634
452	7044	11616
453	7059	11599
454	7075	11585
455	7090	11569
456	7105	11552
457	7119	11534
458	7134	11517
459	7148	11499
460	7162	11482
461	7177	11464
462	7191	11446
463	7204	11428
464	7220	11412
465	7235	11396
466	7248	11377
467	7262	11358
468	7274	11338
469	7287	11319
470	7301	11300
471	7315	11282
472	7329	11264
473	7344	11248
474	7361	11235
475	7374	11216
476	7387	11198
477	7401	11180
478	7416	11163
479	7430	11145
480	7443	11126
481	7456	11107
482	7470	11089
483	7486	11075
484	7500	11058
485	7514	11039
486	7529	11023
487	7544	11007
488	7559	10991
489	7575	10976
490	7593	10964
491	7609	10950
492	7625	10935
493	7640	10918
494	7655	10902
495	7671	10888
496	7685	10871
497	7700	10854
498	7717	10841
499	7733	10827
500	7748	10811
501	7763	10794
502	7779	10779
503	7794	10763
504	7812	10751
505	7835	10746
506	7855	10736
507	7881	10735
508	7899	10724
509	7922	10718
510	7938	10703
511	7952	10686
512	7966	10668
513	7985	10657
514	7999	10640
515	8014	10623
516	8027	10604
517	8040	10586
518	8054	10568
519	8067	10549
520	8081	10532
521	8095	10514
522	8110	10498
523	8124	10480
524	8136	10461
525	8151	10444
526	8166	10428
527	8181	10412
528	8196	10396
529	8213	10383
530	8230	10369
531	8246	10354
532	8261	10338
533	8276	10321
534	8291	10305
535	8305	10289
536	8321	10273
537	8335	10257
538	8353	10243
539	8368	10228
540	8381	10210
541	8395	10192
542	8411	10176
543	8428	10163
544	8441	10145
545	8456	10128
546	8470	10112
547	8484	10094
548	8497	10076
549	8512	10060
550	8524	10040
551	8538	10024
552	8553	10007
553	8567	9989
554	8582	9974
555	8594	9954
556	8607	9936
557	8621	9919
558	8635	9902
559	8650	9886
560	8664	9868
561	8678	9851
562	8691	9834
563	8706	9817
564	8720	9800
565	8733	9782
566	8748	9766
567	8765	9753
568	8780	9737
569	8793	9718
570	8807	9701
571	8824	9688
